cod_linha,nome_linha
226,ABAETÉ
182,ABRANCHES
332,ACRÓPOLE
334,AGRÍCOLA
265,AHÚ/LOS ANGELES
560,ALFERES POLI
232,ALIANÇA
629,ALTO BOQUEIRÃO
373,ALTO TARUMÃ
464,A.MUN/J.BOTÂNICO
311,ARAGUAIA
823,AUGUSTA
361,AUGUSTO STRESSER
180,AVERDE/ABRANCHES
541,BAIRRO NOVO A
542,BAIRRO NOVO B
547,BAIRRO NOVO C
342,B.ALTO/BOA VISTA
341,B.ALTO/STA.CA
231,BANES/CALIFÓRNIA
205,BARREIRINHA
875,BIGORRILHO
175,BOM RETIRO / PUC
540,BOQUEIRÃO/KRAFT
627,BOSCH
170,BRACATINGA
913,BUTIATUVINHA
225,B.VISTA/BARREIR
201,CABRAL/BOMRETIRO
207,CABRAL / OSÓRIO
216,CABRAL / PORTÃO
732,CAIUA/C.COMPRIDO
703,CAIUÁ
386,CAJURU
322,CAMARGO
654,CAMPO ALEGRE
801,CAMP.SIQ./BATEL
475,CANAL BELÉM
628,CARBOMAFRA
668,CASA DE CUSTÓDIA
659,CAXIMBA/OLARIA
516,C.BELEM/S.FILHO
MCC,C. CENTRO
002,C. CENTRO (AH)
001,C. CENTRO (H)
828,C.COMP/C.RASO
826,C.COMPRIDO/CIC
335,CENT./BOQUEIRÃO 
338,CENTENÁRIO/HAUER
393,C.IMB./P.BARIGUI
150,C.MUSIC/V.ALEGRE
211,COLINA VERDE
778,COTOLENGO
658,C.RASO/CAIUÁ
027,C.RASO/C.SIQUEIR
385,CRISTO REI
816,C.SIQUEIRA/STA.FELICIDADE
681,DALAGASSA
380,DETRAN/V.MACHADO
662,DOM ÁTICO
465,ERASTO  GAERTNER
X19,ESP.HASDRUBAL B.
X25,ESP. UNIANDRADE
266,ESTRIBO AHÚ
466,ESTUDANTES
533,E.VERÍS/PANTANAL
621,FANNY
719,FAZ./CAIUÁ-FRIGO
720,FAZEN/C.COMPRIDO
831,FAZEND./C.RASO
701,FAZENDINHA
614,FAZENDINHA/PUC
611,FAZENDINH/PORTÃO
270,FERNANDO NORONHA
821,FERNÃO DIAS
673,FORMOSA
167,FREDOLIN WOLF
639,FUTURAMA
683,FUTURAMA/S.CERC.
822,GABINETO
642,GANCHINHO
625,GRAMADOS
470,GUABIROTUBA
561,GUILHERMINA
513,HAUER/BOQUEIRÃO
371,HIGIENÓPOLIS
374,HUGO LANGE
523,IGUAPE I
515,IGUAPE II
020,INTERBAIRR II H
011,INTERBAIRROS I A
010,INTERBAIRROS I H
030,INTERBAIRROS III
040,INTERBAIRROS IV
050,INTERBAIRROS V
060,INTERBAIRROS VI
021,INTERB II ANTI H
378,INTERHOSPITAIS
512,ITAMARATI
711,ITATIAIA
366,ITUPAV/H.MILITAR
468,JD. CENTAURO
183,JD. CHAPARRAL
244,JD. DO ARROIO
865,JD. ESPLANADA
712,JD.INDEPEND./CIC
917,JD. IPÊ
474,JD. ITIBERÊ
972,JD. ITÁLIA
169,JD. KOSMOS
617,JD. LUDOVICA
655,JD. ORDEM
532,JD.PARANAENSE
365,JD.SOCIAL/BATEL
160,J.MERCES/GUANABA
912,JOSÉ CULPI
967,JÚLIO GRAF
656,KAMYR
271,LARANJEIRAS
661,LINDÓIA
635,LONDRINA
641,LUIZ NICHELE
189,MAD. ABRANCHES
549,MAD. BAIRRO NOVO
789,MAD. CAIUÁ
809,MAD. CAMPO COMPRIDO
309,MAD. CENTENÁRIO
308,MAD. CENTENÁRIO / RUI BARBOSA
609,MAD. CIC
489,MAD. PETRÓPOLIS / SOLITUDE
188,MAD. PILARZINHO / UBERABA
519,MAD. S. FRANCISCO / IGUAPE
689,MAD. S. PEDRO / R. NEGRO
989,MAD. STA. FELICIDADE
889,MAD. SÃO BRÁZ
679,MAD. TATUQUARA
788,MAD. V. VELHA
633,MARIA ANGÉLICA
522,MARINGÁ
721,MARIO JORGE
181,MATEUS LEME
594,MENONITAS
331,MERCÚRIO
260,M.HERMES/STA.EFI
812,MONTANA
814,MOSSUNGUÊ
176,NILO PEÇANHA
521,NIVALDO BRAGA
666,NOVO MUNDO
674,N. SRA. DA LUZ
280,N. SRA.DE NAZARÉ
233,OLARIA
OPC,OP. CONTIGENCIA
000,OPER S/LINHA
535,OSTERNACK/BOQ.
548,OSTERN/S.CERCADO
915,O.VERDE/V.BÁDIA
272,PAINEIRAS
640,PALMEIRA
387,PALOTINOS
534,PARIGOT DE SOUZA
911,PASSAÚNA
462,PETRÓPOLIS
638,PINHEIRINHO
644,PINHEIRINHO/CIC
916,PINHEIROS
631,PIRATINI/BR476
649,PIRINEUS
646,POMPÉIA / JANAÍNA
718,PORTO BELO
671,PORTÃO
612,PORTÃO / CIC
623,PQ.INDUSTRIAL
171,PRIMAVERA
632,QUARTEL GENERAL
168,RAPOSO TAVARES
245,REFORÇO ANITA GARIBALDI
X14,REFORÇO HAUER
X24,REFORÇO SAMBAQUI
539,REFORÇO TERMINAL
684,RIO BONITO
685,RIO BONITO/CIC
636,RIO NEGRO
827,RIVIERA
622,RONDON
370,RUA XV / BARIGUI
680,RURBANA
653,SABARÁ
375,SAGRADO CORAÇÃO
811,SATURNO
876,SAVÓIA
ARA,SISTEMA ARAUCARIA
212,SOLAR
463,SOLITUDE
650,S.RITA/PINHEIRIN
713,STA. AMÉLIA
461,STA. BARBARA
901,STA. FELICIDADE
924,STA.FEL/SCÂNDIDA
274,STA. GEMA
531,STA. INÊS
637,STA. JOANA
760,STA. QUITÉRIA
619,STA. RITA / CIC
243,STA. TEREZINHA
236,SÃO BENEDITO
965,SÃO BERNARDO
870,SÃO BRAZ
511,SÃO FRANCISCO
670,SÃO JORGE
213,SÃO JOÃO
372,TARUMÃ
667,TERMINAL CIC
TPH,TERMINAL PINHEIRINHO
214,TINGUI
545,TRABALHADOR
861,TRAMONTINA
321,TRINDADE
TFA,TUBO FANNY
TMA,TUBO MARECHAL
TSP,TUBO SAO PEDRO  
TSB,TUBO S BERNADETE
TSQ,TUBO ST QUITERIA
TXA,TUBO XAXIM
815,TUIUTI BARIGUI
472,UBERABA
615,UBERLÂNDIA
643,UMBARÁ
165,UNIVERSIDADES
829,UNIV.POSITIVO
323,V. AUTÓDROMO
Z03,V.CARV./C.IMBUIA
663,V. CUBAS
918,VENEZA
222,V. ESPERANÇA
630,VITÓRIA RÉGIA
761,V. IZABEL
690,V. JULIANA
242,V. LEONICE
467,V. MACEDO
714,V. MARISA
825,V. MARQUETO
166,V. NORI
336,V. RENO
665,V. REX
762,V. ROSINHA
860,V. SANDRA
471,V. SÃO PAULO
624,V. SÃO PEDRO
184,V. SUIÇA
777,V. VELHA
779,V.VELHA / BURITI
652,V. VERDE
657,XAXIM/CAPÃO RASO
551,XAXIM/L. VERDE
536,ZOOLÓGICO
