NOME,NUM,LAT,LON
Rua Waldemar Portugal Freixo. 86 - Boa Vista,120781,-25.382326877548,-49.242028371509
Rua Maria Lúcia Locher de Athayde. 7500 - Cidade Industrial,180803,-25.488301359693,-49.354850507474
Rua Antônio Moreira Lopes. 1052 - Cajuru,140384,-25.474933691362,-49.191667535539
Rua Albino Kaminski. 423 - Bairro Alto,130192,-25.410306390921,-49.204293906746
Rua São José dos Pinhais. 369 - Sítio Cercado,160101,-25.538309109327,-49.268853673611
Rua Alexandre de Gusmão. 1075 - Jardim Social,130408,-25.42991506766,-49.235225797838
Terminal Campo Comprido - 823 - Augusta,104614,-25.441529447527,-49.346594927578
Rua Eduardo Sprada. 1082 -  Campo Comprido,180585,-25.452527564707,-49.322748960203
R. Alexandre Von Humboldt. 741 - Pilarzinho,120557,-25.390208050398,-49.289026572923
Rua dos Pinheiros. 303 - Barreirinha,120595,-25.373418372289,-49.25238791222
Rua Ricardo Eugenio Graeser Ronchi - Tatuquara,170915,-25.557718375569,-49.318345785141
Rua Dr. Laurindo Abelardo de Brito. 271 - Boqueirão,140343,-25.507706109266,-49.218892682209
Rua João Miqueletto. 883 - Alto Boqueirão,160168,-25.551594022259,-49.234950262566
Av. Pres. Kennedy. 1472 - Água Verde,150008,-25.460568162875,-49.27336682209
Rua Alberto Folloni. 477 - Juvevê,120098,-25.41108,-49.26382
Rua Nilo Cairo. 306 - Centro,110413,-25.43144735649,-49.260449291414
Rua Eduardo Pinto da Rocha. 307 - Alto Boqueirão,160741,-25.534033473441,-49.24328612973
Avenida Frederico Lambertuci. 395 - Fazendinha,180145,-25.482857011281,-49.325954199976
Rua Ildefonso Stockler de França. 587 - Novo Mundo,150110,-25.481324018204,-49.287937910503
Rua Arquimedes Cruz. 52 - Jardim Social,130339,-25.420294560929,-49.238697917408
Rua Lupionopolis. 508 - Sítio Cercado,160767,-25.540147827542,-49.262902085914
Avenida Anita Garibaldi. 4812 - Barreirinha,120031,-25.371198482293,-49.261667550926
Rua Luiz França. 1280 - Cajuru,140231,-25.44863,-49.22008
Rua Luís Tramontin. 409 - Campo Comprido,180653,-25.45231618074,-49.328442613868
Rua Engenheiro João Bley Filho. 464 - Pinheirinho,150839,-25.521616201068,-49.284739047289
Rua Benjamin Cavet. 78 - São Braz,190133,-25.423634534757,-49.347386472387
Rua Elzira Alves Lourenço. 25 - Cidade Industrial,180567,-25.464068664938,-49.340141704299
R. Arthur Leinig. 784 - Vista Alegre,190221,-25.409937293089,-49.291784635582
Rua João Batista Dalarmi. 972 - Santo Inácio,190034,-25.421724787448,-49.332986093254
Rua Prof. Iolanda Romeu. 471 - Passaúna - Campo Magro - PR,660095,-25.38673184476,-49.361150146669
Rua Nossa Senhora de Nazaré. 472 - Boa Vista,120394,-25.395440692198,-49.250001414611
Av. Visconde de Guarapuava. 2324 - Centro,140205,-25.435186762549,-49.264932603783
Rua Francisco Frischman. 6 - Portão,180973,-25.47407959522,-49.295889319128
Rua Emílio Romani. 1493 - Cidade Industrial,170340,-25.533377754442,-49.334214989828
Rua Justo Manfron. 901 - Santa Felicidade,190657,-25.375446814587,-49.318745112964
R. Gen. Potiguara. 2430 - Fazendinha,180096,-25.482331104997,-49.322968487429
Rua Prof. João Mazzarotto. 446 - Capão Raso,150359,-25.50036515817,-49.291288542328
Rua Vinte e Quatro de Maio. 712 - Rebouças,110023,-25.444237601078,-49.27107815732
Rua Ciro Corrêa Pereira. 2500 - Cidade Industrial,170808,-25.543886241043,-49.329552054405
Rua José Rietmeyer. 471 - Uberaba,140035,-25.476163372831,-49.240004736666
