NOME;NUM;LAT;LON;SEQ;GRUPO;SENTIDO;TIPO;ITINERARY_ID;CODE
Praça Rui Barbosa;108170;-25.435876905372;-49.273143161309;1;;Estação Fanny;Fora do padrão;776;560
Rua Lamenha Lins. 1592 - Rebouças;150721;-25.449942021534;-49.27082000784;4;;Estação Fanny;Novo mobiliário;776;560
Rua Lamenha Lins. 1888 - Centro;150512;-25.453288321453;-49.269221622166;6;;Estação Fanny;Novo mobiliário;776;560
Rua Lamenha Lins. 2575 - Centro;150485;-25.458193704989;-49.26681568068;9;;Estação Fanny;Chapéu chinês;776;560
Estação Fanny;108209;-25.474973889693;-49.258533150306;1;14594;Praça Rui Barbosa;Estação tubo;1787;560
Rua Antônio Barrichelo. 249 - Fanny;150493;-25.472579985643;-49.260783226437;2;;Praça Rui Barbosa;Domus;1787;560
Estação Fanny;108210;-25.474845554019;-49.258702129474;1;47567;Estação Fanny;Estação tubo;10193;560
Praça Rui Barbosa;108170;-25.435876905372;-49.273143161309;17;;Praça Rui Barbosa;Fora do padrão;1787;560
Rua Alferes Poli. 1089 - Centro;110025;-25.445839181373;-49.269014497832;14;;Praça Rui Barbosa;Novo mobiliário;1787;560
Rua Alferes Poli. 1345 - Rebouças;150251;-25.447976012999;-49.26799032206;13;;Praça Rui Barbosa;Novo mobiliário;1787;560
Rua Maria Moscarde Fanini. 49 - Guaíra;150492;-25.466887524737;-49.264160293756;4;;Praça Rui Barbosa;Chapéu chinês;1787;560
Rua Lamenha Lins. 2302 - Centro;150484;-25.456586853654;-49.267558652578;8;;Estação Fanny;Novo mobiliário;776;560
Rua Alferes Poli. 1873 -Centro;150249;-25.452850128684;-49.265678257889;11;;Praça Rui Barbosa;Novo mobiliário;1787;560
Rua Alferes Poli. 2369 - Centro;150499;-25.45701373906;-49.2636880588;9;;Praça Rui Barbosa;Novo mobiliário;1787;560
Rua Lamenha Lins. 3072 - Centro;150488;-25.462287627889;-49.264719534335;6;;Praça Rui Barbosa;Chapéu chinês;1787;560
Estação Fanny;108210;-25.474845554019;-49.258702129474;15;47567;Estação Fanny;Estação tubo;776;560
Rua Lamenha Lins. 1849 - Rebouças;150722;-25.452151111283;-49.269752827223;5;;Estação Fanny;Novo mobiliário;776;560
Rua Lamenha Lins. 2021 - Centro;150483;-25.455338411019;-49.268209088264;7;;Estação Fanny;Novo mobiliário;776;560
Rua Antônio Melilo. 73 - Parolin;150494;-25.471113773761;-49.262206138319;3;;Praça Rui Barbosa;Chapéu chinês;1787;560
Rua Lamenha Lins. 2841 - Centro;150497;-25.460413231495;-49.265614051042;7;;Praça Rui Barbosa;Placa em cano;1787;560
Estação Fanny;108209;-25.474973889693;-49.258533150306;2;14594;Estação Fanny;Estação tubo;10193;560
Rua General Zenon Silva. 66 - Guaíra;150495;-25.471794214528;-49.263193191236;14;;Estação Fanny;Placa em cano;776;560
R. Lamenha Lins. 860 - Centro;110456;-25.44323859475;-49.274087814678;2;;Estação Fanny;Placa em cano;776;560
Rua Lamenha Lins. 1283 - Reboucas;110349;-25.447519099158;-49.272013269232;3;;Estação Fanny;Novo mobiliário;776;560
Rua Antônio Parolim Júnior. 925 - Parolin;150489;-25.464205584671;-49.264160293756;12;;Estação Fanny;Placa em cano;776;560
Rua Maria Moscarde Fanini. 52 - Guaíra;150496;-25.467405743735;-49.264311838565;13;;Estação Fanny;Chapéu chinês;776;560
Rua Alferes Poli. 787 - Rebouças;110024;-25.443478176732;-49.270140950921;15;;Praça Rui Barbosa;Novo mobiliário;1787;560
Rua Alferes Poli. 2503 - Centro;150498;-25.458786474846;-49.262840480751;8;;Praça Rui Barbosa;Novo mobiliário;1787;560
Rua Lamenha Lins. 2840 - Centro;150486;-25.460820079705;-49.265545654712;10;;Estação Fanny;Placa em cano;776;560
Rua Lamenha Lins. 3071 - Centro;150487;-25.462727162352;-49.264636385856;11;;Estação Fanny;Placa em cano;776;560
Rua Alferes Poli. 400 - Rebouças;110026;-25.440705808683;-49.271456482887;16;;Praça Rui Barbosa;Novo mobiliário;1787;560
Rua Alferes Poli. 1640 - Rebouças;150250;-25.450413700988;-49.266826243347;12;;Praça Rui Barbosa;Novo mobiliário;1787;560
Rua Antônio Parolim Júnior. 926 - Parolin;150490;-25.464290342158;-49.264101285157;5;;Praça Rui Barbosa;Placa em cano;1787;560
Rua Alferes Poli. 2147 - Centro;150611;-25.454753539646;-49.26476244968;10;;Praça Rui Barbosa;Novo mobiliário;1787;560
Rua Francisco Derosso. 1935 - Xaxim;150085;-25.507075532468;-49.264079883432;22;;Terminal Capão Raso;Novo mobiliário;830;629
Rua Infante Dom Henrique. 72 - Capão Raso;150221;-25.495831789059;-49.277655860119;29;;Terminal Capão Raso;Novo mobiliário;830;629
Terminal Capão Raso - 629 - Alto Boqueirão;104816;-25.491761422167;-49.293390841431;1;14497;Alto Boqueirão;Plataforma;831;629
Rua Francisco Derosso. 2806 - Xaxim;150090;-25.51289;-49.25887;16;;Alto Boqueirão;Novo mobiliário;831;629
